                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.5944,                0.88788,                0.88663,                0.88923,                0.79151,                0.85415,                0.41397,                  1.768,                0.91212,                0.94896,              0.0007921,              0.0007921,              0.0007921
                     66,                 1.6071,                0.88723,                 0.8978,                0.91864,                0.76431,                0.84775,                0.37459,                 1.8161,                0.90528,                0.95471,              0.0007888,              0.0007888,              0.0007888
                     67,                  1.595,                0.88073,                0.90236,                 0.9282,                0.78831,                0.85657,                0.40922,                 1.7011,                 0.8612,                0.94048,              0.0007855,              0.0007855,              0.0007855
                     68,                 1.5656,                0.87297,                0.88772,                0.90912,                0.78554,                0.84088,                0.40215,                 1.7678,                0.90406,                0.95781,              0.0007822,              0.0007822,              0.0007822
                     69,                 1.6351,                0.90334,                0.89497,                0.88962,                 0.7814,                0.87328,                0.42039,                 1.6577,                0.89371,                0.93158,              0.0007789,              0.0007789,              0.0007789
                     70,                 1.5869,                0.87441,                0.88793,                0.91312,                0.75072,                0.84429,                0.37735,                 1.7785,                0.90728,                0.94719,              0.0007756,              0.0007756,              0.0007756
                     71,                 1.6111,                0.87754,                 0.8835,                0.89908,                0.78285,                0.84807,                0.37305,                 1.8306,                0.87393,                0.95415,              0.0007723,              0.0007723,              0.0007723
                     72,                 1.6434,                0.90822,                0.90004,                0.92632,                0.77071,                0.85611,                0.38863,                 1.7775,                 0.8563,                0.95463,               0.000769,               0.000769,               0.000769
                     73,                 1.5788,                0.86589,                0.89679,                0.91993,                0.77964,                0.87384,                0.40146,                  1.713,                0.84704,                0.94857,              0.0007657,              0.0007657,              0.0007657
                     74,                 1.5198,                0.83412,                0.88319,                0.92968,                0.79576,                0.85293,                0.41005,                 1.7752,                0.86272,                 0.9568,              0.0007624,              0.0007624,              0.0007624
                     75,                 1.5302,                0.81815,                 0.8859,                0.91504,                0.80241,                0.87448,                0.42915,                 1.6844,                0.85507,                0.93639,              0.0007591,              0.0007591,              0.0007591
                     76,                 1.5993,                 0.8767,                 0.8908,                0.90249,                0.82459,                0.88405,                0.43345,                 1.7007,                0.86542,                0.93673,              0.0007558,              0.0007558,              0.0007558
                     77,                 1.5905,                0.86177,                0.89696,                0.84509,                0.79365,                0.85882,                0.39029,                 1.7952,                0.90683,                0.94844,              0.0007525,              0.0007525,              0.0007525
                     78,                 1.5748,                0.86008,                0.88746,                0.92612,                 0.7824,                0.85656,                0.43119,                 1.7283,                0.89968,                0.94452,              0.0007492,              0.0007492,              0.0007492
                     79,                 1.5584,                0.84092,                0.88287,                0.89548,                0.82439,                0.87163,                0.43032,                    1.7,                0.82763,                0.93602,              0.0007459,              0.0007459,              0.0007459
                     80,                 1.5609,                0.84417,                0.87666,                0.90692,                0.77855,                0.83966,                0.39123,                 1.7773,                0.90975,                0.94504,              0.0007426,              0.0007426,              0.0007426
                     81,                 1.6112,                0.85276,                0.88235,                0.89809,                0.80933,                0.86979,                0.42966,                 1.6403,                0.86273,                0.93182,              0.0007393,              0.0007393,              0.0007393
                     82,                 1.5074,                0.82155,                0.87703,                  0.936,                 0.8511,                0.89754,                0.45906,                 1.6123,                0.78412,                0.92692,               0.000736,               0.000736,               0.000736
                     83,                 1.5013,                0.79832,                0.87534,                 0.9427,                0.83875,                0.89575,                0.44275,                 1.6544,                 0.8042,                0.93073,              0.0007327,              0.0007327,              0.0007327
                     84,                 1.5186,                 0.8101,                0.87869,                0.92764,                0.82351,                0.87094,                0.42519,                 1.7094,                0.81085,                0.93564,              0.0007294,              0.0007294,              0.0007294
                     85,                 1.5163,                0.82492,                0.87719,                0.94779,                0.81494,                0.87902,                0.41682,                 1.7115,                0.81355,                0.94389,              0.0007261,              0.0007261,              0.0007261
                     86,                 1.5222,                0.82727,                0.87696,                0.91707,                0.81717,                0.86758,                0.42103,                 1.7107,                0.85281,                0.94729,              0.0007228,              0.0007228,              0.0007228
                     87,                 1.5437,                0.82402,                0.88351,                0.90245,                 0.7946,                0.86792,                0.44342,                  1.649,                0.83147,                0.93457,              0.0007195,              0.0007195,              0.0007195
